"Date","Price","Open","High","Low","Vol.","Change %"
"2024-03-15","5.3130","5.3159","5.3268","5.3094","","-0.04%"
"2024-03-14","5.3149","5.3350","5.3422","5.3120","","-0.37%"
"2024-03-13","5.3349","5.3228","5.3426","5.3202","","0.25%"
"2024-03-12","5.3217","5.3271","5.3306","5.3082","","-0.08%"
"2024-03-11","5.3259","5.3310","5.3366","5.3150","","-0.07%"
"2024-03-08","5.3297","5.3443","5.3575","5.3233","","-0.25%"
"2024-03-07","5.3433","5.3245","5.3467","5.3215","","0.33%"
"2024-03-06","5.3257","5.2951","5.3323","5.2913","","0.62%"
"2024-03-05","5.2931","5.3036","5.3110","5.2910","","-0.18%"
"2024-03-04","5.3025","5.3080","5.3134","5.2995","","-0.07%"
"2024-03-01","5.3064","5.2963","5.3136","5.2920","","0.27%"
"2024-02-29","5.2921","5.3004","5.3091","5.2906","","-0.15%"
"2024-02-28","5.3001","5.3208","5.3225","5.2907","","-0.39%"
"2024-02-27","5.3206","5.3280","5.3383","5.3158","","-0.13%"
"2024-02-26","5.3276","5.3293","5.3325","5.3201","","0.01%"
"2024-02-23","5.3270","5.3365","5.3466","5.3238","","-0.17%"
"2024-02-22","5.3363","5.3238","5.3484","5.3222","","0.25%"
"2024-02-21","5.3229","5.3179","5.3285","5.3103","","0.13%"
"2024-02-20","5.3161","5.3355","5.3406","5.3145","","-0.35%"
"2024-02-19","5.3350","5.3335","5.3440","5.3320","","0.03%"
"2024-02-16","5.3332","5.3421","5.3444","5.3250","","-0.15%"
"2024-02-15","5.3411","5.3117","5.3435","5.3078","","0.57%"
"2024-02-14","5.3108","5.3036","5.3168","5.2995","","0.17%"
"2024-02-13","5.3018","5.3480","5.3530","5.2943","","-0.84%"
"2024-02-12","5.3467","5.3442","5.3568","5.3379","","0.05%"
"2024-02-09","5.3439","5.3456","5.3633","5.3353","","-0.04%"
"2024-02-08","5.3458","5.3444","5.3503","5.3330","","0.05%"
"2024-02-07","5.3433","5.3292","5.3475","5.3282","","0.26%"
"2024-02-06","5.3293","5.3165","5.3366","5.3080","","0.27%"
"2024-02-05","5.3151","5.3412","5.3468","5.3145","","-0.50%"
"2024-02-02","5.3417","5.3637","5.3709","5.3344","","-0.40%"
"2024-02-01","5.3629","5.3345","5.3718","5.3326","","0.53%"
"2024-01-31","5.3348","5.3562","5.3664","5.3302","","-0.38%"
"2024-01-30","5.3553","5.3512","5.3584","5.3362","","0.08%"
"2024-01-29","5.3509","5.3338","5.3551","5.3310","","0.32%"
"2024-01-26","5.3340","5.3208","5.3498","5.3172","","0.27%"
"2024-01-25","5.3198","5.2891","5.3238","5.2842","","0.62%"
"2024-01-24","5.2872","5.3285","5.3317","5.2866","","-0.76%"
"2024-01-23","5.3276","5.3363","5.3395","5.3155","","-0.15%"
"2024-01-22","5.3357","5.3531","5.3642","5.3344","","-0.37%"
"2024-01-19","5.3556","5.3362","5.3579","5.3291","","0.38%"
"2024-01-18","5.3352","5.3278","5.3369","5.3183","","0.14%"
"2024-01-17","5.3280","5.3303","5.3363","5.3137","","0.03%"
"2024-01-16","5.3265","5.3410","5.3485","5.3233","","-0.25%"
"2024-01-15","5.3400","5.3457","5.3599","5.3322","","-0.06%"
"2024-01-12","5.3430","5.3518","5.3691","5.3441","","-0.14%"
"2024-01-11","5.3505","5.3599","5.3653","5.3321","","-0.15%"
"2024-01-10","5.3588","5.3534","5.3658","5.3512","","0.11%"
"2024-01-09","5.3527","5.3600","5.3667","5.3422","","-0.12%"
"2024-01-08","5.3592","5.3503","5.3612","5.3410","","0.33%"
"2024-01-05","5.3415","5.3627","5.3783","5.3389","","-0.38%"
"2024-01-04","5.3617","5.3527","5.3710","5.3517","","0.14%"
"2024-01-03","5.3540","5.3618","5.3685","5.3470","","-0.12%"
"2024-01-02","5.3607","5.3630","5.3914","5.3552","","0.00%"
"2024-01-01","5.3609","5.3594","5.3649","5.3568","","0.08%"
"2023-12-29","5.3568","5.3736","5.3878","5.3542","","-0.27%"
"2023-12-28","5.3714","5.4065","5.4117","5.3668","","-0.62%"
"2023-12-27","5.4050","5.4113","5.4240","5.4012","","-0.15%"
"2023-12-26","5.4132","5.3832","5.4141","5.3807","","0.53%"
"2023-12-25","5.3849","5.3767","5.3861","5.3617","","0.25%"
"2023-12-22","5.3717","5.3751","5.3960","5.3643","","-0.03%"
"2023-12-21","5.3735","5.3376","5.3779","5.3363","","0.71%"
"2023-12-20","5.3358","5.3474","5.3614","5.3368","","-0.19%"
"2023-12-19","5.3459","5.3246","5.3503","5.3233","","0.44%"
"2023-12-18","5.3227","5.3263","5.3445","5.3172","","0.07%"
"2023-12-15","5.3190","5.3025","5.3325","5.2998","","0.32%"
"2023-12-14","5.3019","5.3074","5.3193","5.2879","","-0.05%"
"2023-12-13","5.3047","5.2808","5.3157","5.2769","","0.48%"
"2023-12-12","5.2792","5.2866","5.2961","5.2691","","-0.12%"
"2023-12-11","5.2854","5.2750","5.2979","5.2709","","0.26%"
"2023-12-08","5.2715","5.2589","5.2890","5.2565","","0.25%"
"2023-12-07","5.2585","5.2667","5.2701","5.2518","","-0.14%"
"2023-12-06","5.2659","5.2583","5.2845","5.2568","","0.18%"
"2023-12-05","5.2566","5.2770","5.2782","5.2551","","-0.36%"
"2023-12-04","5.2758","5.2864","5.2970","5.2639","","-0.23%"
"2023-12-01","5.2882","5.2618","5.2944","5.2586","","0.50%"
"2023-11-30","5.2618","5.2488","5.2660","5.2343","","0.29%"
"2023-11-29","5.2465","5.2666","5.2777","5.2372","","-0.34%"
"2023-11-28","5.2643","5.2518","5.2712","5.2502","","0.23%"
"2023-11-27","5.2521","5.2434","5.2547","5.2347","","0.20%"
"2023-11-24","5.2414","5.2190","5.2613","5.2133","","0.49%"
"2023-11-23","5.2161","5.2278","5.2310","5.2088","","-0.20%"
"2023-11-22","5.2268","5.2095","5.2294","5.1982","","0.37%"
"2023-11-21","5.2074","5.2237","5.2290","5.1943","","-0.27%"
"2023-11-20","5.2214","5.2590","5.2600","5.2132","","-0.64%"
"2023-11-17","5.2551","5.2655","5.2714","5.2464","","-0.16%"
"2023-11-16","5.2636","5.2973","5.3007","5.2565","","-0.61%"
"2023-11-15","5.2957","5.2974","5.3084","5.2859","","-0.02%"
"2023-11-14","5.2965","5.2804","5.3011","5.2650","","0.34%"
"2023-11-13","5.2788","5.2819","5.2928","5.2706","","-0.04%"
"2023-11-10","5.2808","5.2741","5.2881","5.2613","","0.12%"
"2023-11-09","5.2745","5.2776","5.2988","5.2713","","-0.06%"
"2023-11-08","5.2777","5.2879","5.2899","5.2695","","-0.17%"
"2023-11-07","5.2868","5.3071","5.3128","5.2814","","-0.36%"
"2023-11-06","5.3058","5.3412","5.3475","5.3052","","-0.72%"
"2023-11-03","5.3444","5.3254","5.3540","5.3163","","0.39%"
"2023-11-02","5.3238","5.2810","5.3266","5.2797","","0.82%"
"2023-11-01","5.2803","5.2733","5.2873","5.2643","","0.15%"
"2023-10-31","5.2726","5.2896","5.2965","5.2663","","-0.31%"
"2023-10-30","5.2891","5.2770","5.2972","5.2729","","0.29%"
"2023-10-27","5.2739","5.2894","5.3049","5.2713","","-0.28%"
"2023-10-26","5.2885","5.3031","5.3084","5.2840","","-0.27%"
"2023-10-25","5.3026","5.3218","5.3243","5.2976","","-0.31%"
"2023-10-24","5.3191","5.3447","5.3491","5.3140","","-0.44%"
"2023-10-23","5.3427","5.3361","5.3531","5.3250","","0.18%"
"2023-10-20","5.3332","5.3309","5.3525","5.3222","","0.07%"
"2023-10-19","5.3295","5.3347","5.3465","5.3247","","-0.06%"
"2023-10-18","5.3329","5.3580","5.3713","5.3330","","-0.43%"
"2023-10-17","5.3557","5.3714","5.3737","5.3363","","-0.28%"
"2023-10-16","5.3710","5.3446","5.3737","5.3446","","0.44%"
"2023-10-13","5.3473","5.3344","5.3576","5.3320","","0.28%"
"2023-10-12","5.3326","5.3700","5.3762","5.3297","","-0.67%"
"2023-10-11","5.3686","5.3709","5.3760","5.3580","","-0.02%"
"2023-10-10","5.3697","5.3657","5.3742","5.3569","","0.10%"
"2023-10-09","5.3643","5.3382","5.3697","5.3312","","0.40%"
"2023-10-06","5.3428","5.3260","5.3517","5.3117","","0.31%"
"2023-10-05","5.3261","5.3121","5.3284","5.2959","","0.28%"
"2023-10-04","5.3114","5.3263","5.3337","5.2984","","-0.27%"
"2023-10-03","5.3257","5.3391","5.3436","5.3152","","-0.23%"
"2023-10-02","5.3382","5.3797","5.3860","5.3372","","-0.72%"
"2023-09-29","5.3771","5.4130","5.4422","5.3745","","-0.65%"
"2023-09-28","5.4122","5.4163","5.4228","5.4015","","-0.06%"
"2023-09-27","5.4152","5.4089","5.4177","5.3974","","0.15%"
"2023-09-26","5.4072","5.4339","5.4372","5.4040","","-0.49%"
"2023-09-25","5.4337","5.4170","5.4353","5.4124","","0.42%"
"2023-09-22","5.4111","5.4212","5.4416","5.4093","","-0.14%"
"2023-09-21","5.4187","5.4137","5.4293","5.4030","","0.12%"
"2023-09-20","5.4122","5.4265","5.4409","5.4068","","-0.25%"
"2023-09-19","5.4257","5.4069","5.4493","5.4047","","0.37%"
"2023-09-18","5.4055","5.3798","5.4170","5.3770","","0.49%"
"2023-09-15","5.3793","5.3875","5.3908","5.3667","","-0.14%"
"2023-09-14","5.3868","5.3640","5.3941","5.3634","","0.42%"
"2023-09-13","5.3645","5.3794","5.3828","5.3577","","-0.25%"
"2023-09-12","5.3780","5.3706","5.3850","5.3600","","0.18%"
"2023-09-11","5.3684","5.3875","5.3918","5.3443","","-0.26%"
"2023-09-08","5.3822","5.3565","5.3968","5.3534","","0.50%"
"2023-09-07","5.3553","5.3657","5.3739","5.3514","","-0.18%"
"2023-09-06","5.3648","5.3547","5.3671","5.3411","","0.21%"
"2023-09-05","5.3533","5.3510","5.3707","5.3424","","0.07%"
"2023-09-04","5.3496","5.3400","5.3524","5.3386","","0.19%"
"2023-09-01","5.3395","5.3738","5.3810","5.3339","","-0.61%"
"2023-08-31","5.3721","5.3835","5.3889","5.3543","","-0.17%"
"2023-08-30","5.3815","5.3712","5.3904","5.3635","","0.21%"
"2023-08-29","5.3700","5.3608","5.3734","5.3484","","0.18%"
"2023-08-28","5.3603","5.3597","5.3740","5.3477","","0.07%"
"2023-08-25","5.3564","5.3607","5.3722","5.3440","","-0.03%"
"2023-08-24","5.3582","5.3814","5.3879","5.3561","","-0.40%"
"2023-08-23","5.3797","5.3832","5.3898","5.3554","","-0.04%"
"2023-08-22","5.3819","5.3804","5.3967","5.3681","","0.06%"
"2023-08-21","5.3787","5.3745","5.4044","5.3689","","0.11%"
"2023-08-18","5.3727","5.3828","5.3896","5.3682","","-0.17%"
"2023-08-17","5.3820","5.3916","5.4088","5.3798","","-0.18%"
"2023-08-16","5.3916","5.3953","5.4132","5.3879","","-0.04%"
"2023-08-15","5.3939","5.3931","5.4183","5.3906","","0.05%"
"2023-08-14","5.3910","5.3871","5.4028","5.3788","","0.14%"
"2023-08-11","5.3836","5.3678","5.3938","5.3661","","0.34%"
"2023-08-10","5.3654","5.3726","5.3909","5.3661","","-0.11%"
"2023-08-09","5.3711","5.3767","5.3811","5.3563","","-0.10%"
"2023-08-08","5.3766","5.3804","5.3903","5.3451","","-0.04%"
"2023-08-07","5.3788","5.3623","5.3830","5.3569","","0.32%"
"2023-08-04","5.3616","5.3666","5.3842","5.3549","","-0.03%"
"2023-08-03","5.3631","5.3870","5.3910","5.3614","","-0.42%"
"2023-08-02","5.3858","5.4053","5.4110","5.3852","","-0.33%"
"2023-08-01","5.4035","5.4155","5.4260","5.3896","","-0.22%"
"2023-07-31","5.4152","5.4029","5.4338","5.3860","","0.41%"
"2023-07-28","5.3933","5.4239","5.4276","5.3938","","-0.56%"
"2023-07-27","5.4238","5.4143","5.4422","5.4069","","0.21%"
"2023-07-26","5.4124","5.4188","5.4297","5.4012","","-0.07%"
"2023-07-25","5.4160","5.4586","5.4602","5.4016","","-0.73%"
"2023-07-24","5.4560","5.4371","5.4652","5.4307","","0.41%"
"2023-07-21","5.4337","5.4479","5.4581","5.4321","","-0.24%"
"2023-07-20","5.4468","5.4897","5.5030","5.4384","","-0.76%"
"2023-07-19","5.4884","5.4527","5.4929","5.4492","","0.70%"
"2023-07-18","5.4503","5.4342","5.4533","5.4198","","0.33%"
"2023-07-17","5.4322","5.4040","5.4499","5.3966","","0.55%"
"2023-07-14","5.4024","5.4521","5.4571","5.3988","","-0.94%"
